image,change_type
105_L_hat,disappear
105_R_hat,disappear
106_L_toweldispenser,disappear
106_R_toweldispenser,disappear
107_L_shirts,disappear
107_R_shirts,disappear
108_L_boa,disappear
108_R_boa,disappear
109_L_pillow,disappear
109_R_pillow,disappear
110_L_plant,disappear
110_R_plant,disappear
111_L_pot,disappear
111_R_pot,disappear
112_L_basket,disappear
112_R_basket,disappear
113_L_plant,disappear
113_R_plant,disappear
114_L_bird,disappear
114_R_bird,disappear
115_L_pot,disappear
115_R_pot,disappear
116_L_basket,disappear
116_R_basket,disappear
117_L_plant_sized,disappear
117_R_plant_sized,disappear
118_L_shoes,disappear
118_R_shoes,disappear
119_L_painting,disappear
119_R_painting,disappear
120_L_art,disappear
120_R_art,disappear
121_L_car,disappear
121_R_car,disappear
122_L_chair,disappear
122_R_chair,disappear
123_L_pot,disappear
123_R_pot,disappear
124_L_vase,disappear
124_R_vase,disappear
125_L_sofa,disappear
125_R_sofa,disappear
126_L_candles,disappear
126_R_candles,disappear
127_L_light,disappear
127_R_light,disappear
128_L_pot,disappear
128_R_pot,disappear
