consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt
,,,,,,,,1,124.11377,0,20,20,0,1,ANR0LIX0VLUYJ,1,wolfe_image-016-a_w_outline.jpg,wolfe_image-016-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,1,0.00205,0,21,21,25,1,ANR0LIX0VLUYJ,27,wolfe_image-029-a_w_outline.jpg,wolfe_image-029-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,5,20.313225,0,22,22,15,1,ANR0LIX0VLUYJ,17,wolfe_image-028-a_w_outline.jpg,wolfe_image-028-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,4,16.81496,0,23,23,13,1,ANR0LIX0VLUYJ,15,wolfe_image-047-a_w_outline.jpg,wolfe_image-047-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,3,6.2083,0,24,24,26,1,ANR0LIX0VLUYJ,28,wolfe_image-092-a_w_outline.jpg,wolfe_image-092-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,5,8.97394,0,25,25,19,1,ANR0LIX0VLUYJ,21,wolfe_image-088-a_w_outline.jpg,wolfe_image-088-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,5,97.778835,0,26,26,9,1,ANR0LIX0VLUYJ,11,wolfe_image-019-a_w_outline.jpg,wolfe_image-019-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,5,303.83647,0,27,27,22,1,ANR0LIX0VLUYJ,24,wolfe_image-079-a_w_outline.jpg,wolfe_image-079-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,3,50.853225,0,28,28,10,1,ANR0LIX0VLUYJ,12,wolfe_image-011-a_w_outline.jpg,wolfe_image-011-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,,,,,,,,ANR0LIX0VLUYJ,,,,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,3,1.11511
