consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,Cow_resp.keys,Cow_resp.rt
,,,,,,,,1,1.38528,0,10,10,0,1,A1CUDX7TTS2W61,1,wolfe_image-077-a_w_outline.jpg,wolfe_image-077-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,2,1.415995,0,11,11,5,1,A1CUDX7TTS2W61,6,wolfe_image-001-a_w_outline.jpg,wolfe_image-001-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,1,1.36074,0,12,12,1,1,A1CUDX7TTS2W61,2,wolfe_image-114-a_w_outline.jpg,wolfe_image-114-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,2,1.390895,0,13,13,24,1,A1CUDX7TTS2W61,25,wolfe_image-115-a_w_outline.jpg,wolfe_image-115-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,1,1.39414,0,14,14,22,1,A1CUDX7TTS2W61,23,wolfe_image-030-a_w_outline.jpg,wolfe_image-030-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,2,1.467595,0,15,15,7,1,A1CUDX7TTS2W61,8,wolfe_image-019-a_w_outline.jpg,wolfe_image-019-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,1,1.40721,0,16,16,20,1,A1CUDX7TTS2W61,21,wolfe_image-103-a_w_outline.jpg,wolfe_image-103-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,2,1.33713,0,17,17,3,1,A1CUDX7TTS2W61,4,wolfe_image-119-a_w_outline.jpg,wolfe_image-119-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,2,1.29214,0,18,18,11,1,A1CUDX7TTS2W61,12,wolfe_image-034-a_w_outline.jpg,wolfe_image-034-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,2,1.236535,0,19,19,18,1,A1CUDX7TTS2W61,19,wolfe_image-129-a_w_outline.jpg,wolfe_image-129-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,2,1.22683,0,20,20,8,1,A1CUDX7TTS2W61,9,wolfe_image-128-a_w_outline.jpg,wolfe_image-128-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,2,1.27527,0,21,21,25,1,A1CUDX7TTS2W61,26,wolfe_image-016-a_w_outline.jpg,wolfe_image-016-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,2,1.30487,0,22,22,17,1,A1CUDX7TTS2W61,18,wolfe_image-020-a_w_outline.jpg,wolfe_image-020-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,2,1.234605,0,23,23,12,1,A1CUDX7TTS2W61,13,wolfe_image-047-a_w_outline.jpg,wolfe_image-047-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,2,1.308725,0,24,24,26,1,A1CUDX7TTS2W61,27,wolfe_image-076-a_w_outline.jpg,wolfe_image-076-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,2,1.286695,0,25,25,21,1,A1CUDX7TTS2W61,22,wolfe_image-026-a_w_outline.jpg,wolfe_image-026-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,2,1.212175,0,26,26,27,1,A1CUDX7TTS2W61,28,wolfe_image-017-a_w_outline.jpg,wolfe_image-017-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,2,1.23137,0,27,27,28,1,A1CUDX7TTS2W61,29,wolfe_image-039-a_w_outline.jpg,wolfe_image-039-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,2,1.366885,0,28,28,4,1,A1CUDX7TTS2W61,5,wolfe_image-126-a_w_outline.jpg,wolfe_image-126-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,2,1.35913,0,29,29,6,1,A1CUDX7TTS2W61,7,wolfe_image-038-a_w_outline.jpg,wolfe_image-038-b_w_outline.jpg,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,,
,,,,,,,,,,,,,,,A1CUDX7TTS2W61,,,,,,A1CUDX7TTS2W61,2020-10-13_19h40.13.766,MetaAwareness,2020.1.2,MacIntel,60,2,0.86892
